District Name,District Code,# Graduated,# Completed MassCore,% Completed MassCore
Abby Kelley Foster Charter Public (District),04450000,      82,      82, 100.0
Abington,00010000,     108,     107,  99.1
Academy Of the Pacific Rim Charter Public (District),04120000,      38,      38, 100.0
Acton-Boxborough,06000000,     489,     299,  61.1
Adams-Cheshire,06030000,      80,      55,  68.8
Advanced Math and Science Academy Charter (District),04300000,     117,     117, 100.0
Agawam,00050000,     265,     226,  85.3
Amesbury,00070000,     139,     139, 100.0
Amherst-Pelham,06050000,     210,      65,  31.0
Andover,00090000,     444,     444, 100.0
Arlington,00100000,     350,     350, 100.0
Ashburnham-Westminster,06100000,     157,     157, 100.0
Ashland,00140000,     184,     156,  84.8
Assabet Valley Regional Vocational Technical,08010000,     272,     272, 100.0
Athol-Royalston,06150000,      72,      72, 100.0
Atlantis Charter (District),04910000,      63,      63, 100.0
Attleboro,00160000,     399,     317,  79.4
Auburn,00170000,     184,     167,  90.8
Avon,00180000,      50,      50, 100.0
Ayer Shirley School District,06160000,     101,      84,  83.2
Barnstable,00200000,     353,     287,  81.3
Baystate Academy Charter Public School (District),35020000,      47,      47, 100.0
Bedford,00230000,     202,     202, 100.0
Belchertown,00240000,     175,      51,  29.1
Bellingham,00250000,     149,     110,  73.8
Belmont,00260000,     305,     303,  99.3
Berkshire Arts and Technology Charter Public (District),04140000,      30,      24,  80.0
Berkshire Hills,06180000,     126,     125,  99.2
Berlin-Boylston,06200000,      81,      81, 100.0
Beverly,00300000,     275,     264,  96.0
Billerica,00310000,     272,     245,  90.1
Blackstone Valley Regional Vocational Technical,08050000,     301,     301, 100.0
Blackstone-Millville,06220000,     106,     106, 100.0
Blue Hills Regional Vocational Technical,08060000,     209,     209, 100.0
Boston,00350000,"   3,515","   1,005",  28.6
Boston Collegiate Charter (District),04490000,      72,      72, 100.0
Boston Day and Evening Academy Charter (District),04240000,      57,      14,  24.6
Boston Green Academy Horace Mann Charter School (District),04110000,      50,       0,   0.0
Boston Preparatory Charter Public (District),04160000,      58,      58, 100.0
Bourne,00360000,     110,     110, 100.0
Braintree,00400000,     372,     355,  95.4
Bridgewater-Raynham,06250000,     400,     400, 100.0
Bristol County Agricultural,09100000,     109,     109, 100.0
Bristol-Plymouth Regional Vocational Technical,08100000,     287,     287, 100.0
Brockton,00440000,"   1,095",     272,  24.8
Brookline,00460000,     491,     487,  99.2
Burlington,00480000,     249,     249, 100.0
Cambridge,00490000,     478,     457,  95.6
Canton,00500000,     227,     220,  96.9
Cape Cod Regional Vocational Technical,08150000,     111,     111, 100.0
Carver,00520000,      83,      83, 100.0
Central Berkshire,06350000,     145,      84,  57.9
Chelmsford,00560000,     351,     351, 100.0
Chelsea,00570000,     305,     305, 100.0
Chicopee,00610000,     500,     166,  33.2
City on a Hill Charter Public School Circuit Street (District),04370000,      35,      35, 100.0
City on a Hill Charter Public School Dudley Square (District),35040000,      56,      56, 100.0
City on a Hill Charter Public School New Bedford (District),35070000,      27,      27, 100.0
Clinton,00640000,     106,      89,  84.0
Codman Academy Charter Public (District),04380000,      35,      35, 100.0
Cohasset,00650000,     119,     119, 100.0
Community Charter School of Cambridge (District),04360000,      50,      50, 100.0
Concord-Carlisle,06400000,     340,     340, 100.0
Danvers,00710000,     234,     234, 100.0
Dartmouth,00720000,     249,     248,  99.6
Dedham,00730000,     184,      96,  52.2
Dennis-Yarmouth,06450000,     192,     184,  95.8
Dighton-Rehoboth,06500000,     197,     197, 100.0
Douglas,00770000,     101,      33,  32.7
Dover-Sherborn,06550000,     149,     149, 100.0
Dracut,00790000,     210,     210, 100.0
Dudley-Charlton Reg,06580000,     269,     157,  58.4
Duxbury,00820000,     255,     255, 100.0
East Bridgewater,00830000,     134,     134, 100.0
East Longmeadow,00870000,     219,       1,   0.5
Easthampton,00860000,     118,     118, 100.0
Easton,00880000,     298,     298, 100.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      84,      36,  42.9
Essex North Shore Agricultural and Technical School District,08170000,     322,     322, 100.0
Everett,00930000,     463,     251,  54.2
Excel Academy Charter (District),04100000,      92,      58,  63.0
Fairhaven,00940000,     129,     121,  93.8
Fall River,00950000,     473,     368,  77.8
Falmouth,00960000,     190,     139,  73.2
Fitchburg,00970000,     382,     209,  54.7
Four Rivers Charter Public (District),04130000,      29,      27,  93.1
Foxborough,00990000,     205,     119,  58.0
Foxborough Regional Charter (District),04460000,      63,      63, 100.0
Framingham,01000000,     546,     416,  76.2
Francis W. Parker Charter Essential (District),04780000,      58,      49,  84.5
Franklin,01010000,     421,     421, 100.0
Franklin County Regional Vocational Technical,08180000,     118,     118, 100.0
Freetown-Lakeville,06650000,     186,     108,  58.1
Frontier,06700000,      94,      84,  89.4
Gardner,01030000,     112,      35,  31.3
Gateway,06720000,      41,      41, 100.0
Georgetown,01050000,     101,     101, 100.0
Gill-Montague,06740000,      46,      32,  69.6
Global Learning Charter Public (District),04960000,      44,      44, 100.0
Gloucester,01070000,     212,     123,  58.0
Grafton,01100000,     221,     176,  79.6
Granby,01110000,      48,      48, 100.0
Greater Fall River Regional Vocational Technical,08210000,     314,     312,  99.4
Greater Lawrence Regional Vocational Technical,08230000,     350,     350, 100.0
Greater Lowell Regional Vocational Technical,08280000,     503,       0,   0.0
Greater New Bedford Regional Vocational Technical,08250000,     475,     475, 100.0
Greenfield,01140000,      81,      57,  70.4
Greenfield Commonwealth Virtual District,39010000,      32,      32, 100.0
Groton-Dunstable,06730000,     202,     202, 100.0
Hadley,01170000,      50,      50, 100.0
Hamilton-Wenham,06750000,     144,     144, 100.0
Hampden Charter School of Science East (District),04990000,      36,      36, 100.0
Hampden-Wilbraham,06800000,     289,     249,  86.2
Hampshire,06830000,      85,      59,  69.4
Hanover,01220000,     213,     213, 100.0
Harvard,01250000,     105,     105, 100.0
Hatfield,01270000,      28,      28, 100.0
Haverhill,01280000,     377,     188,  49.9
Hingham,01310000,     275,     275, 100.0
Holbrook,01330000,      54,      54, 100.0
Holliston,01360000,     174,     170,  97.7
Holyoke,01370000,     302,     135,  44.7
Hopedale,01380000,      75,      75, 100.0
Hopkinton,01390000,     282,     260,  92.2
Hudson,01410000,     176,     172,  97.7
Hull,01420000,      74,      74, 100.0
Innovation Academy Charter (District),04350000,      94,      88,  93.6
Ipswich,01440000,     117,     117, 100.0
KIPP Academy Lynn Charter (District),04290000,     108,     108, 100.0
King Philip,06900000,     318,     318, 100.0
Lawrence,01490000,     697,     697, 100.0
Lee,01500000,      56,      40,  71.4
Leicester,01510000,      98,      98, 100.0
Lenox,01520000,      49,      47,  95.9
Leominster,01530000,     421,     421, 100.0
Lexington,01550000,     552,     552, 100.0
Lincoln-Sudbury,06950000,     375,     375, 100.0
Littleton,01580000,     115,     115, 100.0
Longmeadow,01590000,     248,     144,  58.1
Lowell,01600000,     714,     283,  39.6
Lowell Middlesex Academy Charter (District),04580000,      14,      14, 100.0
Ludlow,01610000,     199,      86,  43.2
Lunenburg,01620000,     103,     103, 100.0
Lynn,01630000,     947,     248,  26.2
Lynnfield,01640000,     167,     165,  98.8
MATCH Charter Public School (District),04690000,      58,       0,   0.0
Ma Academy for Math and Science,04680000,      49,      49, 100.0
Malden,01650000,     427,     184,  43.1
Manchester Essex Regional,06980000,     103,     103, 100.0
Mansfield,01670000,     321,     321, 100.0
Map Academy Charter School (District),35170000,       8,       3,  37.5
Marblehead,01680000,     262,     260,  99.2
Marlborough,01700000,     284,     284, 100.0
Marshfield,01710000,     334,     334, 100.0
Martha's Vineyard,07000000,     145,     145, 100.0
Martha's Vineyard Charter (District),04660000,       7,       7, 100.0
Masconomet,07050000,     268,     132,  49.3
Mashpee,01720000,     105,     105, 100.0
Maynard,01740000,      91,      91, 100.0
Medfield,01750000,     189,     188,  99.5
Medford,01760000,     341,     339,  99.4
Medway,01770000,     179,     172,  96.1
Melrose,01780000,     256,     256, 100.0
Mendon-Upton,07100000,     156,     103,  66.0
Methuen,01810000,     482,     291,  60.4
Middleborough,01820000,     171,     171, 100.0
Milford,01850000,     262,     261,  99.6
Millbury,01860000,     102,     102, 100.0
Millis,01870000,      96,      96, 100.0
Milton,01890000,     240,     240, 100.0
Minuteman Regional Vocational Technical,08300000,     115,     115, 100.0
Mohawk Trail,07170000,      60,      60, 100.0
Monomoy Regional School District,07120000,     113,     103,  91.2
Monson,01910000,      67,      59,  88.1
Montachusett Regional Vocational Technical,08320000,     313,     313, 100.0
Mount Greylock,07150000,      84,      45,  53.6
Mystic Valley Regional Charter (District),04700000,      88,      88, 100.0
Nantucket,01970000,     129,     122,  94.6
Narragansett,07200000,      82,      82, 100.0
Nashoba,07250000,     240,     239,  99.6
Nashoba Valley Regional Vocational Technical,08520000,     165,     165, 100.0
Natick,01980000,     372,     350,  94.1
Nauset,06600000,     241,     241, 100.0
Needham,01990000,     443,     443, 100.0
New Bedford,02010000,     407,     407, 100.0
Newburyport,02040000,     180,     180, 100.0
Newton,02070000,     966,     874,  90.5
Norfolk County Agricultural,09150000,     137,     137, 100.0
North Adams,02090000,      80,      68,  85.0
North Andover,02110000,     398,     398, 100.0
North Attleborough,02120000,     274,     263,  96.0
North Brookfield,02150000,      35,      35, 100.0
North Middlesex,07350000,     184,     184, 100.0
North Reading,02170000,     187,     187, 100.0
Northampton,02100000,     209,       0,   0.0
Northampton-Smith Vocational Agricultural,04060000,     123,     123, 100.0
Northboro-Southboro,07300000,     364,     228,  62.6
Northbridge,02140000,     130,     130, 100.0
Northeast Metropolitan Regional Vocational Technical,08530000,     287,     287, 100.0
Northern Berkshire Regional Vocational Technical,08510000,     108,     108, 100.0
Norton,02180000,     183,     181,  98.9
Norwell,02190000,     172,     172, 100.0
Norwood,02200000,     237,     134,  56.5
Old Colony Regional Vocational Technical,08550000,     128,     128, 100.0
Old Rochester,07400000,     186,     181,  97.3
Oxford,02260000,      90,      50,  55.6
Palmer,02270000,     101,      70,  69.3
Pathfinder Regional Vocational Technical,08600000,     122,     122, 100.0
Paulo Freire Social Justice Charter School (District),35010000,      58,      58, 100.0
Peabody,02290000,     339,     262,  77.3
Pembroke,02310000,     225,     224,  99.6
Pentucket,07450000,     150,     137,  91.3
Phoenix Academy Public Charter High School Lawrence (District),35180000,      10,      10, 100.0
Phoenix Academy Public Charter High School Springfield (District),35080000,      14,      14, 100.0
Phoenix Charter Academy (District),04930000,      16,      16, 100.0
Pioneer Charter School of Science (District),04940000,      37,      37, 100.0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      45,      45, 100.0
Pioneer Valley,07500000,      58,      31,  53.4
Pioneer Valley Chinese Immersion Charter (District),04970000,      15,      15, 100.0
Pioneer Valley Performing Arts Charter Public (District),04790000,      61,      61, 100.0
Pittsfield,02360000,     350,     259,  74.0
Plymouth,02390000,     571,     371,  65.0
Prospect Hill Academy Charter (District),04870000,      66,      66, 100.0
Quabbin,07530000,     136,     136, 100.0
Quaboag Regional,07780000,      98,      98, 100.0
Quincy,02430000,     703,     427,  60.7
Ralph C Mahar,07550000,     158,     152,  96.2
Randolph,02440000,     143,     135,  94.4
Reading,02460000,     331,     282,  85.2
Revere,02480000,     458,     458, 100.0
Rising Tide Charter Public (District),04830000,      64,      64, 100.0
Rockland,02510000,     118,     118, 100.0
Rockport,02520000,      83,      83, 100.0
Roxbury Preparatory Charter (District),04840000,      70,      70, 100.0
Sabis International Charter (District),04410000,     110,     110, 100.0
Salem,02580000,     227,     227, 100.0
Salem Academy Charter (District),04850000,      50,      50, 100.0
Sandwich,02610000,     161,     160,  99.4
Saugus,02620000,     159,     138,  86.8
Scituate,02640000,     210,     195,  92.9
Seekonk,02650000,     157,     150,  95.5
Sharon,02660000,     287,     197,  68.6
Shawsheen Valley Regional Vocational Technical,08710000,     303,     201,  66.3
Shrewsbury,02710000,     430,     429,  99.8
Silver Lake,07600000,     256,     243,  94.9
Sizer School: A North Central Charter Essential (District),04740000,      36,      36, 100.0
Somerset Berkley Regional School District,07630000,     251,     251, 100.0
Somerville,02740000,     300,     182,  60.7
South Hadley,02780000,     127,      99,  78.0
South Middlesex Regional Vocational Technical,08290000,     155,     151,  97.4
South Shore Charter Public (District),04880000,      61,      53,  86.9
South Shore Regional Vocational Technical,08730000,     156,     156, 100.0
Southbridge,02770000,     101,     100,  99.0
Southeastern Regional Vocational Technical,08720000,     344,     337,  98.0
Southern Berkshire,07650000,      39,       2,   5.1
Southern Worcester County Regional Vocational Technical,08760000,     267,     267, 100.0
Southwick-Tolland-Granville Regional School District,07660000,     120,      97,  80.8
Spencer-E Brookfield,07670000,      88,      87,  98.9
Springfield,02810000,"   1,469","   1,452",  98.8
Stoneham,02840000,     169,     169, 100.0
Stoughton,02850000,     256,     256, 100.0
Sturgis Charter Public (District),04890000,     194,     194, 100.0
Sutton,02900000,     100,      95,  95.0
Swampscott,02910000,     168,     168, 100.0
Swansea,02920000,     130,     130, 100.0
TEC Connections Academy Commonwealth Virtual School District,39020000,     237,     237, 100.0
Tantasqua,07700000,     258,     215,  83.3
Taunton,02930000,     495,     387,  78.2
Tewksbury,02950000,     242,     242, 100.0
Tri-County Regional Vocational Technical,08780000,     242,     242, 100.0
Triton,07730000,     170,     155,  91.2
Tyngsborough,03010000,     122,     122, 100.0
Upper Cape Cod Regional Vocational Technical,08790000,     157,     157, 100.0
Uxbridge,03040000,     144,     125,  86.8
Wachusett,07750000,     555,     510,  91.9
Wakefield,03050000,     226,     226, 100.0
Walpole,03070000,     294,       9,   3.1
Waltham,03080000,     347,     331,  95.4
Ware,03090000,      67,      67, 100.0
Wareham,03100000,     123,     122,  99.2
Watertown,03140000,     154,     109,  70.8
Wayland,03150000,     207,     171,  82.6
Webster,03160000,     108,      81,  75.0
Wellesley,03170000,     386,     386, 100.0
West Boylston,03220000,      62,      62, 100.0
West Bridgewater,03230000,     101,     101, 100.0
West Springfield,03320000,     267,     170,  63.7
Westborough,03210000,     267,     266,  99.6
Westfield,03250000,     368,     281,  76.4
Westford,03260000,     445,     445, 100.0
Weston,03300000,     195,     195, 100.0
Westport,03310000,      96,      80,  83.3
Westwood,03350000,     261,     255,  97.7
Weymouth,03360000,     449,     220,  49.0
Whitman-Hanson,07800000,     290,     278,  95.9
Whittier Regional Vocational Technical,08850000,     315,     315, 100.0
Wilmington,03420000,     209,     209, 100.0
Winchendon,03430000,      80,      44,  55.0
Winchester,03440000,     306,     263,  85.9
Winthrop,03460000,     154,     154, 100.0
Woburn,03470000,     344,     342,  99.4
Worcester,03480000,"   1,647","   1,507",  91.5
State Totals,00000000,"  68,233","  55,523",  81.4