District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Lynn,01630000,"   1,172.9",  95.6,  13.7 to 1,,,
Lynnfield,01640000,     162.6,  99.4,  13.5 to 1,,,
MATCH Charter Public School (District),04690000,     113.9,  75.0,  10.7 to 1,,,
Ma Academy for Math and Science,04680000,       6.0, 100.0,  16.5 to 1,,,
Malden,01650000,     473.0,  99.8,  13.7 to 1,,,
Manchester Essex Regional,06980000,     131.5,  98.5,  10.4 to 1,,,
Mansfield,01670000,     300.9, 100.0,  12.1 to 1,,,
Map Academy Charter School (District),35170000,       9.5,  63.2,  16.9 to 1,,,
Marblehead,01680000,     257.2, 100.0,  11.5 to 1,,,
Marblehead Community Charter Public (District),04640000,      22.1,  81.9,   9.3 to 1,,,
Marion,01690000,      32.5, 100.0,  13.3 to 1,,,
Marlborough,01700000,     387.6,  99.7,  12.3 to 1,,,
Marshfield,01710000,     324.6, 100.0,  12.2 to 1,,,
Martha's Vineyard,07000000,      75.1,  98.7,   8.9 to 1,,,
Martha's Vineyard Charter (District),04660000,      16.5,  95.5,  10.4 to 1,,,
Martin Luther King Jr. Charter School of Excellence (District),04920000,      34.6,  88.4,  10.4 to 1,,,
Masconomet,07050000,     132.4,  99.2,  13.0 to 1,,,
Mashpee,01720000,     139.6,  99.3,  11.2 to 1,,,
Mattapoisett,01730000,      37.1, 100.0,  11.9 to 1,,,
Maynard,01740000,     111.8,  95.5,  11.3 to 1,,,
Medfield,01750000,     195.6,  99.0,  13.3 to 1,,,
Medford,01760000,     397.2,  98.8,  10.6 to 1,,,
Medway,01770000,     160.4, 100.0,  13.6 to 1,,,
Melrose,01780000,     273.9, 100.0,  14.5 to 1,,,
Mendon-Upton,07100000,     156.4,  97.8,  14.4 to 1,,,
Methuen,01810000,     497.8,  98.1,  13.8 to 1,,,
Middleborough,01820000,     217.9,  99.5,  13.7 to 1,,,
Middleton,01840000,      65.1,  99.8,  11.0 to 1,,,
Milford,01850000,     337.6,  98.8,  13.1 to 1,,,
Millbury,01860000,     131.7, 100.0,  12.9 to 1,,,
Millis,01870000,      93.7,  99.7,  12.6 to 1,,,
Milton,01890000,     310.4,  99.7,  14.3 to 1,,,
Minuteman Regional Vocational Technical,08300000,      71.5,  97.2,   8.4 to 1,,,
Mohawk Trail,07170000,      78.6, 100.0,  10.7 to 1,,,
Monomoy Regional School District,07120000,     169.0,  98.5,  11.1 to 1,,,
Monson,01910000,      81.0, 100.0,  11.4 to 1,,,
Montachusett Regional Vocational Technical,08320000,     113.0,  98.2,  12.7 to 1,,,
Mount Greylock,07150000,     105.8,  98.1,  11.0 to 1,,,
Mystic Valley Regional Charter (District),04700000,     105.5,  56.2,  15.2 to 1,,,
Nahant,01960000,       9.6,  94.1,  16.0 to 1,,,
Nantucket,01970000,     146.8,  95.1,  11.4 to 1,,,
Narragansett,07200000,     100.4, 100.0,  14.6 to 1,,,
Nashoba,07250000,     264.6,  99.2,  12.0 to 1,,,
Nashoba Valley Regional Vocational Technical,08520000,      65.0, 100.0,  10.9 to 1,,,
Natick,01980000,     431.2,  99.2,  12.8 to 1,,,
Nauset,06600000,     136.4,  99.3,  10.9 to 1,,,
Needham,01990000,     423.4,  99.8,  13.5 to 1,,,
Neighborhood House Charter (District),04440000,      66.4,  59.9,  10.6 to 1,,,
New Bedford,02010000,     958.3,  94.9,  13.4 to 1,,,
New Heights Charter School of Brockton (District),35130000,      41.8,  77.0,  14.4 to 1,,,
New Salem-Wendell,07280000,      13.7, 100.0,  10.6 to 1,,,
Newburyport,02040000,     195.3,  99.7,  11.6 to 1,,,
Newton,02070000,"   1,086.9",  98.7,  11.8 to 1,,,
Norfolk,02080000,      79.0, 100.0,  12.4 to 1,,,
Norfolk County Agricultural,09150000,      56.1,  98.2,   9.8 to 1,,,
North Adams,02090000,     129.3,  93.8,  10.5 to 1,,,
North Andover,02110000,     315.9,  99.2,  14.8 to 1,,,
North Attleborough,02120000,     285.3,  99.6,  14.6 to 1,,,
North Brookfield,02150000,      45.8, 100.0,  11.9 to 1,,,
North Middlesex,07350000,     247.4, 100.0,  12.5 to 1,,,
North Reading,02170000,     207.2, 100.0,  11.6 to 1,,,
Northampton,02100000,     235.9,  98.5,  11.4 to 1,,,
Northampton-Smith Vocational Agricultural,04060000,      56.0,  96.4,   8.9 to 1,,,
Northboro-Southboro,07300000,     115.4,  99.1,  12.0 to 1,,,
Northborough,02130000,     129.4,  99.2,  12.3 to 1,,,
Northbridge,02140000,     159.8, 100.0,  12.5 to 1,,,
Northeast Metropolitan Regional Vocational Technical,08530000,     119.6,  94.2,  10.7 to 1,,,
Northern Berkshire Regional Vocational Technical,08510000,      42.1,  92.9,  12.0 to 1,,,
Norton,02180000,     169.2, 100.0,  14.4 to 1,,,
Norwell,02190000,     164.8, 100.0,  13.4 to 1,,,
Norwood,02200000,     280.4, 100.0,  12.4 to 1,,,
Oak Bluffs,02210000,      49.4,  98.9,   8.6 to 1,,,
Old Colony Regional Vocational Technical,08550000,      60.0,  98.3,   9.3 to 1,,,
Old Rochester,07400000,      90.0, 100.0,  13.1 to 1,,,
Old Sturbridge Academy Charter Public School (District),35150000,      16.1,  84.5,  14.9 to 1,,,
Orange,02230000,      42.6,  97.7,  12.5 to 1,,,
Orleans,02240000,      18.7, 100.0,  10.5 to 1,,,
Oxford,02260000,     122.1,  98.3,  12.9 to 1,,,
Palmer,02270000,     120.3,  99.2,  10.8 to 1,,,
Pathfinder Regional Vocational Technical,08600000,      75.0,  97.3,   8.3 to 1,,,
Paulo Freire Social Justice Charter School (District),35010000,      24.1,  83.4,  11.5 to 1,,,
Peabody,02290000,     449.3,  99.3,  13.3 to 1,,,
Pelham,02300000,      12.2,  98.4,  10.2 to 1,,,
Pembroke,02310000,     190.2,  99.5,  14.3 to 1,,,
Pentucket,07450000,     194.9, 100.0,  12.3 to 1,,,
Petersham,02340000,      13.0,  76.9,  10.1 to 1,,,
Phoenix Academy Public Charter High School Lawrence (District),35180000,      15.1,  86.8,   8.2 to 1,,,
Phoenix Academy Public Charter High School Springfield (District),35080000,      12.5,  84.0,  15.0 to 1,,,
Phoenix Charter Academy (District),04930000,      15.6,  69.2,  13.8 to 1,,,
Pioneer Charter School of Science (District),04940000,      75.4,  78.8,  10.5 to 1,,,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      33.9,  78.5,  10.6 to 1,,,
Pioneer Valley,07500000,      59.8,  99.7,  11.7 to 1,,,
Pioneer Valley Chinese Immersion Charter (District),04970000,      73.2,  72.0,   7.4 to 1,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,      44.9,  70.6,   8.8 to 1,,,
Pittsfield,02360000,     491.1,  91.2,  10.7 to 1,,,
Plainville,02380000,      52.0, 100.0,  13.6 to 1,,,
Plymouth,02390000,     633.7,  98.4,  11.6 to 1,,,
Plympton,02400000,      17.3, 100.0,  12.7 to 1,,,
Prospect Hill Academy Charter (District),04870000,     103.8,  80.7,  10.7 to 1,,,
Provincetown,02420000,      19.4,  94.8,   6.8 to 1,,,
Quabbin,07530000,     142.0,  99.3,  15.1 to 1,,,
Quaboag Regional,07780000,      99.9,  90.4,  12.3 to 1,,,
Quincy,02430000,     708.7,  99.6,  13.6 to 1,,,
Ralph C Mahar,07550000,      63.3,  96.2,   9.9 to 1,,,
Randolph,02440000,     248.6,  99.2,  11.0 to 1,,,
Reading,02460000,     315.2,  99.7,  13.2 to 1,,,
Revere,02480000,     569.5,  98.6,  13.2 to 1,,,
Richmond,02490000,      20.1,  99.0,   8.5 to 1,,,
Rising Tide Charter Public (District),04830000,      58.2,  79.0,  11.3 to 1,,,
River Valley Charter (District),04820000,      21.9,  78.1,  13.2 to 1,,,
Rochester,02500000,      37.7, 100.0,  13.5 to 1,,,
Rockland,02510000,     176.4, 100.0,  12.9 to 1,,,
Rockport,02520000,      90.1,  98.9,   9.4 to 1,,,
Rowe,02530000,       8.3, 100.0,   8.8 to 1,,,
Roxbury Preparatory Charter (District),04840000,     128.0,  72.7,  12.3 to 1,,,
Sabis International Charter (District),04410000,      84.4,  85.1,  18.6 to 1,,,
Salem,02580000,     329.0,  97.3,  11.0 to 1,,,
Salem Academy Charter (District),04850000,      45.8,  85.8,  10.8 to 1,,,
Sandwich,02610000,     199.8,  98.4,  12.3 to 1,,,
Saugus,02620000,     210.9,  99.5,  12.4 to 1,,,
Savoy,02630000,       6.5,  84.6,   8.9 to 1,,,
Scituate,02640000,     244.6,  99.6,  12.2 to 1,,,
Seekonk,02650000,     161.7,  99.9,  12.9 to 1,,,
Seven Hills Charter Public (District),04860000,      35.8,  86.0,  18.7 to 1,,,
Sharon,02660000,     268.3,  99.4,  13.4 to 1,,,
Shawsheen Valley Regional Vocational Technical,08710000,     127.2,  98.4,   9.9 to 1,,,
Sherborn,02690000,      33.4,  97.0,  12.4 to 1,,,
Shrewsbury,02710000,     416.5,  99.3,  15.0 to 1,,,
Shutesbury,02720000,      15.9, 100.0,   7.8 to 1,,,
Silver Lake,07600000,     135.8,  99.3,  12.8 to 1,,,
Sizer School: A North Central Charter Essential (District),04740000,      40.0,  84.5,   8.9 to 1,,,
Somerset,02730000,     130.6, 100.0,  13.3 to 1,,,
Somerset Berkley Regional School District,07630000,      80.6, 100.0,  12.7 to 1,,,
Somerville,02740000,     445.1,  98.3,  11.1 to 1,,,
South Hadley,02780000,     148.1, 100.0,  12.8 to 1,,,
South Middlesex Regional Vocational Technical,08290000,      81.1,  92.6,   9.9 to 1,,,
South Shore Charter Public (District),04880000,      91.7,  83.3,  10.9 to 1,,,
South Shore Regional Vocational Technical,08730000,      63.7,  95.3,  10.0 to 1,,,
Southampton,02750000,      38.4, 100.0,  12.8 to 1,,,
Southborough,02760000,     105.7, 100.0,  12.1 to 1,,,
Southbridge,02770000,     160.7,  94.1,  11.9 to 1,,,
Southeastern Regional Vocational Technical,08720000,     122.3,  97.5,  11.9 to 1,,,
Southern Berkshire,07650000,      76.9,  99.7,   8.8 to 1,,,
Southern Worcester County Regional Vocational Technical,08760000,     112.0,  96.4,  10.2 to 1,,,
Southwick-Tolland-Granville Regional School District,07660000,     127.5, 100.0,  11.7 to 1,,,
Spencer-E Brookfield,07670000,     112.1,  99.6,  12.3 to 1,,,
Springfield,02810000,"   2,040.2",  93.5,  12.3 to 1,,,
Springfield Preparatory Charter School (District),35100000,      27.4,  78.3,  11.8 to 1,,,
Stoneham,02840000,     197.3, 100.0,  12.0 to 1,,,
Stoughton,02850000,     304.2, 100.0,  11.5 to 1,,,
Sturbridge,02870000,      69.5, 100.0,  12.8 to 1,,,
Sturgis Charter Public (District),04890000,      89.5,  50.5,   9.3 to 1,,,
Sudbury,02880000,     195.9, 100.0,  13.6 to 1,,,
Sunderland,02890000,      21.8,  95.4,  10.2 to 1,,,
Sutton,02900000,     100.9,  99.8,  13.5 to 1,,,
Swampscott,02910000,     184.7, 100.0,  12.0 to 1,,,
Swansea,02920000,     159.1,  99.8,  13.2 to 1,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,      65.8,  98.5,  33.2 to 1,,,
Tantasqua,07700000,     137.1, 100.0,  13.1 to 1,,,
Taunton,02930000,     541.0,  99.6,  14.9 to 1,,,
Tewksbury,02950000,     261.3, 100.0,  12.8 to 1,,,
Tisbury,02960000,      38.4,  99.5,   7.8 to 1,,,
Topsfield,02980000,      55.5, 100.0,  11.7 to 1,,,
Tri-County Regional Vocational Technical,08780000,      86.2,  97.7,  11.2 to 1,,,
Triton,07730000,     195.2, 100.0,  12.1 to 1,,,
Truro,03000000,      15.7,  96.2,   7.2 to 1,,,
Tyngsborough,03010000,     128.1, 100.0,  12.7 to 1,,,
UP Academy Charter School of Boston (District),04800000,      40.5,  77.8,  10.4 to 1,,,
UP Academy Charter School of Dorchester (District),35050000,      51.5,  78.6,  13.8 to 1,,,
Up-Island Regional,07740000,      52.3,  97.6,   7.9 to 1,,,
Upper Cape Cod Regional Vocational Technical,08790000,      71.8,  91.6,   9.8 to 1,,,
Uxbridge,03040000,     130.1, 100.0,  13.2 to 1,,,
Veritas Preparatory Charter School (District),04980000,      34.9,  57.3,  10.5 to 1,,,
Wachusett,07750000,     449.0, 100.0,  15.6 to 1,,,
Wakefield,03050000,     263.8, 100.0,  13.2 to 1,,,
Wales,03060000,      10.4, 100.0,  13.9 to 1,,,
Walpole,03070000,     289.7, 100.0,  12.7 to 1,,,
Waltham,03080000,     529.7,  99.6,  10.8 to 1,,,
Ware,03090000,      94.7,  99.5,  12.0 to 1,,,
Wareham,03100000,     184.1,  99.3,  11.6 to 1,,,
Watertown,03140000,     268.7,  98.9,   9.9 to 1,,,
Wayland,03150000,     220.8,  99.8,  12.3 to 1,,,
Webster,03160000,     139.3,  99.3,  13.2 to 1,,,
Wellesley,03170000,     393.2,  99.6,  12.4 to 1,,,
Wellfleet,03180000,      11.2, 100.0,   9.5 to 1,,,
West Boylston,03220000,      82.5, 100.0,  11.0 to 1,,,
West Bridgewater,03230000,      91.8, 100.0,  15.0 to 1,,,
West Springfield,03320000,     327.8,  99.7,  12.5 to 1,,,
Westborough,03210000,     331.5,  99.1,  11.9 to 1,,,
Westfield,03250000,     430.2,  97.4,  12.2 to 1,,,
Westford,03260000,     364.8,  99.7,  13.5 to 1,,,
Westhampton,03270000,      14.6, 100.0,   8.2 to 1,,,
Weston,03300000,     180.4,  99.0,  11.3 to 1,,,
Westport,03310000,     113.6, 100.0,  12.5 to 1,,,
Westwood,03350000,     242.1,  99.6,  12.4 to 1,,,
Weymouth,03360000,     450.4,  99.0,  12.8 to 1,,,
Whately,03370000,      12.4, 100.0,  10.2 to 1,,,
Whitman-Hanson,07800000,     242.0, 100.0,  15.5 to 1,,,
Whittier Regional Vocational Technical,08850000,     113.8,  98.2,  11.0 to 1,,,
Williamsburg,03400000,      16.7, 100.0,   8.2 to 1,,,
Wilmington,03420000,     272.6, 100.0,  11.6 to 1,,,
Winchendon,03430000,      88.1, 100.0,  13.9 to 1,,,
Winchester,03440000,     356.3,  99.5,  13.1 to 1,,,
Winthrop,03460000,     149.5,  99.2,  13.1 to 1,,,
Woburn,03470000,     365.4, 100.0,  12.2 to 1,,,
Worcester,03480000,"   1,889.0",  96.3,  13.3 to 1,,,
Worthington,03490000,       7.4, 100.0,  11.9 to 1,,,
Wrentham,03500000,      78.7, 100.0,  12.1 to 1,,,
State Totals,00000000,"  75,152.1",  97.0,  12.6 to 1,,,